Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
papel;;1,3;1,1;1,8;1,13;1,17
paracaídas;;1,2;3,63;3,03;1,37;1,17
paraguas;;2,17;1,37;1,9;1,5;1,43
paraíso;;1,07;1,57;4,6;1,03;1
paranormal;;1,55;3,87;1,38;1,48;1,34
parálisis;;3,63;3,47;1,1;2,4;1,13
parásito;;2,43;3,53;1,2;2,6;4
parchís;;1,17;1;3,27;1,13;1,07
parcial;;1,63;1,77;1,67;1,53;1,57
parecido;;1,3;1,6;1,87;1,27;1,27
pared;;1,43;1,53;1,53;1,53;1,1
pareja;;1,67;1,9;4,33;1,3;1,2
parque;;1,2;1,3;3,77;1;1,13
parte;;1,5;1,43;1,33;1,33;1,23
partera;;1,24;1,71;2,29;1,18;2
parto;;1,17;3,4;3,7;1,27;2,23
pasado;;3,13;1,67;3,17;1,8;1,53
pasaje;;1,37;1,7;1,9;1,17;1,3
pase;;1,17;1,47;1,83;1,23;1,13
pasear;;1,27;1,4;4,13;1;1,03
paseo;;1,28;1,17;3,97;1,1;1
pasillo;;1,28;1,86;1,17;1,17;1,1
pasión;;1,23;1,4;4;1,3;1,2
pasividad;;2,52;1,69;1,31;2,24;1,72
pasta;;1,13;1,07;3,7;1,17;1,23
pastel;;1,17;1,07;4;1,07;1,4
pastelero;;1,07;1,03;3,7;1,03;1,07
pastor;;1,57;1,5;2,63;1,4;1,43
pata;;1,1;1,24;1,24;1,1;1,38
patente;;1,48;1,64;2,12;1,44;1,32
patera;;4,03;1,73;1;1,97;1,47
patinadora;;1,1;1,27;3;1;1
patinete;;1,27;1,83;3,07;1,27;1,17
pato;;1,2;1,43;2,8;1;1,37
patriota;;1,5;1,8;1,73;2;1,8
patronato;;1,17;1,43;1,91;1,35;1,35
patrón;;1,27;1,5;1,63;1,27;1,33
pausa;;1,83;2,13;2,03;1,97;1,17
pausado;;1,47;1,17;1,43;1,7;1,17
pavimento;;1,1;1,1;1,1;1,1;1,14
pavo;;1,17;1,6;2,03;1,07;1,5
pavor;;2,63;4,57;1,13;2,27;2,23
payaso;;1,3;2,1;3,47;1,17;1,23
paz;;1,2;1,23;4,4;1,13;1
página;;1,43;1,13;1,53;1,13;1,13
pájaro;;1,33;1,37;3,3;1,13;1,33
pánico;;2,73;4,8;1,03;2,37;1,6
párrafo;;1,07;1,2;1,33;1,03;1,1
peca;;1,17;1,41;1,41;1,21;1,55
pecado;;2,1;1,93;2,13;2,17;1,8
pecaminoso;;1,54;1,5;1,42;1,58;1,63
pecar;;1,93;2,1;1,53;1,83;1,37
pedante;;1,97;1,28;1,14;3,66;3,41
pedazo;;1,62;1,28;1,69;1,41;1,59
pediatra;;1,3;2;2,4;1,27;1,13
pedo;;1,5;1,47;1,97;1,83;3,93
pedófilo;;4,1;3,83;1;4,53;4,83
pegamento;;1,17;1,2;1,27;1,2;1,8
pegar;;3,4;3,4;1,23;4,17;3,37
peinado;;1,23;1,2;2,67;1,17;1,27
peinar;;1,07;1,07;2,43;1,2;1,13
peine;;1;1;1,3;1;1,5
pelear;;3,31;3,28;1,07;4,11;2,48
peligrar;;2,73;4,4;1,13;2,8;1,9
peligro;;1,9;4,2;1,1;1,77;1,37
peligroso;;1,87;4,5;1,2;2,57;1,9
pelirrojo;;1,2;1,17;2,27;1,2;1,13
pelícano;;1,03;1,27;2,4;1,03;1,17
película;;2,5;2,4;3,53;1,73;1,67
pellizco;;1,73;1,77;1,3;3,1;1,2
pelota;;1,07;1,3;3,2;1,2;1,03
peluca;;1,8;1,73;2,2;1,3;1,73
peluche;;1,73;1,23;3,8;1,17;1,1
peluquera;;1,27;1,47;2,27;1,5;1,13
peluquero;;1,2;1,77;2,3;1,47;1,2
pena;;4,5;2,57;1;1,9;1,63
pendiente;;1,4;1,7;1,87;1,4;1,37
pene;;1,07;1,33;2,67;1,13;1,4
penetración;;1,17;1,67;2,53;1,27;1,63
penoso;;3,73;1,57;1,03;1,73;1,83
pensamiento;;2,47;2,23;2,73;1,87;1,67
pensión;;2,2;2,2;2,13;1,57;1,7
peonza;;1,03;1,03;2,55;1;1
peón;;1,41;1,14;1,21;1,24;1,14
pequeño;;1,37;1,77;2,33;1,23;1,33
perdedor;;3,57;2,23;1,07;2,73;1,73
perder;;3,93;3,13;1,2;3,23;1,8
perdición;;3,6;3,63;1,4;2,53;1,83
perdido;;4;4,2;1,1;2,6;1,47
perdiz;;1,2;1,17;1,93;1,13;1,13
perdonar;;1,7;2,1;3,87;1,47;1,23
perezoso;;1,97;1,33;1,57;1,7;1,5
perfección;;1,33;1,87;2,93;1,47;1,33
perfil;;1,33;1,4;1,53;1,2;1,2
perfumado;;1,23;1,07;3,4;1,07;1,37
perfume;;1,43;1,13;3,23;1,23;1,43
periodista;;1,6;1,23;1,77;1,93;1,57
periódico;;1,8;1,63;2,23;1,7;1,43
periquito;;1,07;1;2,97;1,13;1,07
perjudicar;;3,3;2,67;1,1;3,27;2,57
perro;;1,2;1,5;3,67;1,17;1,33
persecución;;2,23;3,23;1,3;2,6;1,7
perseverar;;1,47;1,43;3,33;1,27;1,07
persona;;2;1,97;2,77;1,77;1,97
perversión;;2,83;3,24;1,24;3,21;3,62
perverso;;2,13;3,17;1,23;2,93;2,5
pervertido;;2,9;3,73;1,1;4,13;4,37
pesadilla;;3,3;4,62;1,03;2,41;2,07
pesado;;1,83;1,67;1,27;2,13;2
pesar;;2,33;1,83;1,53;1,77;1,5
pesaroso;;2,9;1,38;1,05;1,57;1,38
pescado;;1,27;1,1;2,1;1,13;1,97
pescador;;1,8;1,17;2,2;1,37;1,6
pesimismo;;4,07;2,87;1;2,27;1,5
pesimista;;4,2;3,17;1,2;2,8;2,2
peste;;2,2;2,6;1,07;2;4,17
petróleo;;2,03;2,4;1,43;1,97;2,8
pezón;;1;1;2,32;1;1,18
pérdida;;4,45;3,76;1,1;2,9;1,48
piano;;2,1;1,17;3,63;1,03;1,03
picaresca;;1,03;1,14;2,59;1,17;1,14
piedra;;1,23;1,47;1,13;1,4;1,2
piel;;1,17;1,17;2,13;1,2;1,27
pieza;;1,17;1,2;1,6;1,17;1,1
pie;;1,1;1,2;1,3;1,2;2,53
pijama;;1,13;1;2,93;1;1
pila;;1,17;1,4;1,47;1,5;1,57
piloto;;1,23;2,03;2,33;1,1;1,13
pincel;;1,2;1;2,57;1,03;1,1
pinchazo;;2,3;3,23;1,1;2,6;2,87
pincho;;1,27;1,97;1,77;1,63;1,23
pingÃ¼ino;;1,3;1,53;3,47;1,07;1,23
pino;;1,17;1,2;2,5;1;1,03
pinta;;1,27;1,07;2,23;1,1;1,37
pintor;;1,47;1,13;2,57;1,03;1,1
pintora;;1,37;1,1;3;1,17;1,07
pintura;;1,73;1,5;2,97;1,7;1,33
pinza;;1,13;1,13;1,23;1,13;1,1
piojo;;1,62;2,34;1,07;2,07;4,45
piojos;;1,7;2,47;1,03;2,17;4,1
pipa;;1,1;1,03;2,23;1,13;1,23
pirata;;1,3;2,43;2,03;1,7;1,53
piropear;;1,33;1,37;3,53;1,5;1,83
piropo;;1,13;1,5;4,07;1,27;1,67
pirotecnia;;1,17;2,69;3,28;1,31;1,07
pirómano;;2,8;3,73;1,37;3,23;2,8
piscina;;1,07;1,43;4;1,1;1,4
pista;;1,1;1,4;2,53;1,13;1,1
pistola;;2,47;4,1;1;3;1,93
pitón;;1,62;3,93;1,31;2;2,93
pizarra;;1,53;1,33;1,83;1,23;1,17
pizza;;1,2;1,1;4,07;1,1;1,13
placer;;1,07;1,37;4,77;1,17;1,1
placidez;;1,41;1,48;3,76;1,34;1,34
plan;;1,13;1,43;2,77;1,1;1,17
plancha;;1,2;1,5;1,4;1,17;1,13
plano;;1,53;1,5;1,4;1,33;1,23
planta;;1,13;1,03;2,5;1;1,13
plato;;1,2;1,1;1,7;1,17;1,27
playa;;1,5;1,47;4,3;1,07;1,23
plástico;;1,23;1,27;1,2;1,27;1,6
pleito;;2,3;2,75;1,5;2,5;1,55
plenitud;;1,13;1,43;4,2;1,07;1,07
pluma;;1,87;1,5;2,13;1,37;1,53
plumero;;1,13;1,07;1,2;1,1;1,8
pobre;;4,23;1,4;1;1,87;1,17
pobreza;;4,67;2,8;1,03;3;1,67
poder;;1,53;2,67;2,5;2,17;2,17
poderío;;1,57;1,87;2,27;1,97;1,63
poderoso;;1,57;2,03;2,23;2,33;1,7
podrido;;1,5;1,53;1,07;1,4;4,47
poema;;3,03;1,74;3,84;1,84;1,39
poesía;;2,8;1,53;3,83;1,67;1,13
poetisa;;1,93;1,34;3,07;1,45;1,28
policía;;2,1;2,57;1,9;2,37;2,03
polilla;;1,2;2;1,03;1,6;3,47
político;;2,77;2,4;1,17;3,97;3,73
polo;;1,13;1,13;2,43;1,33;1,2
pompa;;1,34;1,38;3,52;1,52;1,62
ponzoña;;1,89;3,11;1,17;1,89;2,78
porción;;1,37;1,53;2,1;1,4;1,4
pornografía;;1,45;1,59;1,79;1,52;2,07
porquería;;2,17;1,77;1,1;2,1;4,3
portería;;1,2;1,17;1,93;1,13;1,17
portero;;1,4;1,73;2,13;1,67;1,37
posadera;;1,17;1,17;1,72;1,07;1,24
posible;;1,53;1,6;3,43;1,27;1,27
posición;;1,33;1,5;1,67;1,4;1,23
positivo;;1,03;1,3;4,3;1,07;1,03
pozo;;2,63;3,67;1,27;1,63;1,87
pólvora;;1,79;3,17;1,72;2,03;1,55
pórtico;;1,15;1,25;1,7;1,1;1,15
póster;;1,07;1,13;1,9;1,27;1,1
pradera;;1,2;1,07;3,73;1,07;1,03
precintar;;1,28;1,24;1,28;1,14;1,14
precipicio;;1,9;3,9;1,13;1,6;1,13
predominante;;1,5;1,83;1,73;1,97;1,27
pregón;;1,31;1,17;2,24;1,14;1,14
prejuicio;;3,47;2,93;1,03;3,5;3,13
premiar;;1,13;1,37;4,33;1,23;1,07
premio;;1,07;1,47;4,47;1,13;1,03
prenda;;1,13;1,1;1,97;1,2;1,2
prensa;;1,6;1,43;1,5;1,6;1,63
preocupación;;3,7;3,83;1,1;2,37;1,43
preocupar;;3,73;3,97;1,1;2,07;1,4
preparado;;1,3;1,57;3,5;1,1;1,07
preparar;;1,28;1,53;2,79;1,07;1,1
presa;;2,57;2,63;1,27;2,2;1,83
presentador;;1,23;1,43;2,53;1,47;1,4
presentadora;;1,27;1,4;2,77;1,27;1,37
presente;;1,93;2,2;2,97;1,33;1,4
preservativo;;1,4;1,83;2,47;1,37;1,3
presidente;;2,8;2,6;1,3;3,47;3,3
presión;;2,27;2,63;1,13;2,87;1,8
preso;;2,77;3,03;1,4;2,5;1,8
prestigio;;1,07;1,27;2,73;1,3;1,23
presumido;;1,33;1,1;1,97;1,83;1,77
pretencioso;;1,93;1,38;1,07;2,86;2,31
prima;;1,37;1,27;3,13;1,33;1,27
primavera;;1,33;1,1;4;1,03;1
primo;;1,3;1,27;3,7;1,07;1,2
princesa;;1,47;1;2,47;1,43;1,83
prioridad;;1,6;1,97;1,97;1,57;1,5
prisionero;;2,97;2,93;1,2;2,2;1,67
prisión;;3,33;4;1,33;2,57;2,27
privacidad;;1,33;1,63;2,63;1,37;1,17
privación;;3,17;2,53;1,13;3,23;1,67
privilegio;;1,77;1,57;3,37;1,83;1,8
príncipe;;1,33;1,17;2,4;1,57;1,37
probabilidad;;1,6;1,8;1,5;1,5;1,47
probar;;1,2;2,4;3,17;1,1;1,57
problema;;3,1;3,43;1,23;2,33;1,63
proceso;;1,3;1,6;1,53;1,23;1,23
prodigio;;1,2;1,4;3,77;1,1;1,1
producto;;1,29;1,35;1,71;1,29;1,48
profesor;;1,3;1,43;2,2;1,57;1,3
profesora;;1,3;1,73;2,37;1,67;1,4
programa;;1,43;1,43;2,57;1,57;1,67
programar;;1,31;1,66;1,97;1,28;1,24
progreso;;1,27;1,6;3,93;1,03;1,03
prohibición;;2,67;2,4;1,1;3,07;1,83
promoción;;1,27;1,17;2,7;1,07;1,17
propietario;;1,47;1,73;2,3;1,7;1,57
proporción;;1,43;1,33;1,6;1,33;1,3
propuesta;;1,37;2,5;3,17;1,33;1,23
prosperar;;1,27;1,8;4,37;1,03;1,07
prosperidad;;1,3;1,77;3,77;1,17;1,13
prostituir;;3,53;2,37;1;2,47;2,83
prostituta;;3,43;1,43;1,13;1,57;2,13
proteger;;1,53;2,1;3,5;1,53;1,03
protegido;;1,37;1,83;3,23;1,23;1,13
provincia;;1,43;1,2;1,43;1,33;1,27
provocación;;1,63;1,97;2;2,77;1,87
proxeneta;;2,6;2,8;1,12;3,32;3,48
prótesis;;2,77;2,77;1,5;1,47;1,77
psicosis;;2,9;3,6;1,27;2,63;1,77
psicóloga;;1,17;1,43;3,27;1,03;1
psicópata;;3;4,13;1,03;2,97;2,6
psiquiatra;;1,57;1,9;2,13;1,3;1,2
publicación;;1,2;1,73;2,87;1,3;1,1
publicidad;;1,77;1,33;1,9;2,13;2,03
publicista;;1,27;1,3;1,63;1,53;1,4
pueblo;;1,53;1,33;3,17;1,27;1,2
puente;;1,37;1,67;2,27;1,3;1,03
puerta;;1,33;1,37;1,4;1,2;1,17
puerto;;1,57;1,33;2,87;1,1;1,33
pulga;;1,13;1,9;1,07;1,5;3,47
pulpo;;1,2;1,53;2,1;1,03;2,1
pulsera;;1,1;1,07;2,47;1,03;1,2
puntapié;;1,87;1,77;1,17;2,73;1,43
puñal;;2,5;3,93;1,23;2,93;2,13
puñalada;;3,67;4,47;1,03;4,17;3
puño;;2;3,03;1,31;3,66;1,93
pupila;;1,43;1,67;1,9;1,3;1,3
pureza;;1,13;1,1;3,33;1,07;1,03
purgatorio;;3,03;3,59;1,17;2;2,14
puro;;1;1,23;2,57;1,1;1,13
purulento;;1,88;2,42;1;1,35;4,12
pus;;1,93;2,13;1;1,43;4,33
puta;;3,47;2,23;1,23;2,63;2,47
putrefacto;;1,77;1,87;1,07;1,37;4,37
puzle;;1,3;1,07;3,07;1,47;1,07
pústula;;2,25;2,7;1,25;2,05;4,1
queja;;2,23;1,93;1,2;2,77;1,47
quejumbroso;;2,71;1,76;1,12;2,36;2,16
quemadura;;2,63;2,87;1;2,13;1,77
quemar;;3,03;3,83;1,13;3,43;2,2
querida;;1,8;1,73;3,67;1,67;1,5
querido;;2,27;2,4;3,9;1,83;1,6
queroseno;;1,25;2,54;1,08;1,21;1,92
quiebra;;3,6;3,47;1,03;2,97;1,4
quieto;;2,27;2,17;1,57;1,43;1,43
quietud;;1,62;1,62;1,72;1,45;1,31
quimera;;1,65;2;1,65;2,13;1,52
quimioterapia;;4,2;4,43;1,17;2,93;2,13
quiosco;;1,23;1,1;1,97;1,23;1,13
rabia;;2,57;2,53;1,1;4,1;2,1
racial;;1,77;1,77;1,97;1,77;1,63
radiador;;1,1;1,17;1,7;1,07;1,03
radiante;;1,1;1,17;3,73;1,03;1,03
radio;;1,4;1,1;2,77;1,13;1,03
ramo;;1,47;1,27;3,1;1,07;1,03
rana;;1,27;1,3;2,67;1,17;1,8
rancio;;2,43;1,87;1,2;2,47;3,3
rapto;;3,59;3,83;1,03;3,79;2,76
rareza;;1,5;2,3;1,77;1,27;1,6
raro;;1,93;2,3;1,83;1,6;1,63
rascacielos;;1,57;2,37;2,37;1,3;1,3
rastro;;1,5;2,03;1,57;1,47;1,37
rata;;1,13;2,73;1,27;1,4;3,4
ratón;;1,2;1,97;1,47;1,17;2,37
rápido;;1,5;2,23;2,4;1,67;1,33
realeza;;1,47;1,3;1,37;2,73;2,17
realidad;;3,1;2,8;3,17;2,47;2,37
realismo;;2,5;2,57;2,63;2,17;2,07
reanimar;;2,17;2,8;2,8;1,5;1,3
rebelde;;2,07;2,27;1,73;2,7;1,37
rebelión;;1,67;2,77;2,5;2,73;1,4
recado;;1,07;1,13;1,17;1,3;1,07
recalcar;;1,38;1,41;1,38;1,62;1,48
rechazado;;3,8;2,83;1,03;2,93;1,47
rechazo;;4,1;4,13;1,27;3,33;2,27
recibir;;1,33;1,7;3,97;1,1;1,07
reciclar;;1,2;1,13;3,43;1,13;1,1
recogedor;;1,13;1,13;1,37;1,03;1,6
recolectar;;1,03;1,14;2,34;1,1;1,1
recompensa;;1,2;1,43;3,7;1,17;1,3
recompensar;;1,28;1,24;4,43;1,03;1,1
reconocido;;1,4;1,63;2,53;1,27;1,3
recorte;;3,1;2,83;1,07;3,3;2,47
recreo;;1,27;1,1;4,4;1;1,1
recriminar;;3,03;2,63;1,23;3,4;2,27
recrudecer;;2,59;2,52;1,15;2,19;2,15
rectángulo;;1,17;1,17;1,17;1,2;1,3
recuerdo;;3;1,9;3,87;2,1;1,6
recuerdos;;3,67;2,03;3,87;2,3;1,8
recurso;;1,67;1,6;2,53;1,4;1,3
redicho;;1,44;1,33;1,56;1,67;1,59
reemplazar;;2,37;2,17;2,17;1,5;1,23
referir;;1,34;1,24;1,52;1,31;1,31
refinería;;1,57;1,43;1,27;1,5;1,87
reflejo;;1,5;1,5;1,87;1,27;1,4
reflexión;;2,03;2,23;2,8;1,47;1,33
reformar;;1,67;2;3,1;1,4;1,23
reforzar;;1,3;1,47;3,13;1,23;1,13
refrescante;;1,13;1,07;3,73;1,07;1,13
refrigerio;;1,1;1,1;2,66;1;1,03
refugiada;;3,17;2,23;1,53;1,97;1,23
refugiado;;3,7;3,03;1,43;2,3;1,87
regalar;;1,14;1,17;4,66;1,07;1
regalo;;1,27;1,6;4,6;1,07;1,03
regañar;;3,4;3,2;1,1;3,57;2
regresión;;2,13;1,96;1,46;1,83;1,46
rehén;;3,6;4,2;1,03;3,5;1,5
reina;;1,41;1,55;2,45;1,79;1,76
reinar;;1,63;1,77;2,43;1,47;1,27
reír;;1,1;1,23;4,87;1;1,03
relación;;1,9;2,2;3,83;1,57;1,37
relajación;;1,37;1,17;3,7;1,03;1,07
relajado;;1,07;1;3,73;1;1
relato;;2;1,73;2,67;1,43;1,3
relax;;1,27;1,23;3,87;1,17;1,07
relámpago;;1,8;2,93;1,57;1,7;1,13
religioso;;2;2,03;2,07;1,83;1,93
reloj;;1,9;1,63;1,93;1,73;1,37
remover;;1,87;1,7;1,3;1,73;1,73
renacer;;1,17;1,9;3,9;1,1;1,03
reno;;1,13;1,93;2,8;1,07;1,13
renovar;;1,43;1,8;3,47;1,17;1,1
repisa;;1,28;1,59;1,24;1,24;1,21
reportera;;1,63;1,67;3,13;1,43;1,23
reprender;;2,5;2,79;1,14;3,36;1,61
represión;;3,43;3;1,07;3,73;2,9
reptil;;1,27;2,3;1,37;1,43;2,4
repugnancia;;2,4;1,93;1;2,83;4,7
repugnante;;1,8;2,03;1,07;2,13;4,73
repugnar;;2,23;2,17;1,1;2,37;4,7
repulsión;;2,07;2,23;1,13;2,27;3,4
repulsivo;;2,03;2,17;1,03;2,4;4,6
reputación;;1,5;2;2,1;1,6;1,67
resaca;;2,17;1,66;1,59;1,93;3,17
rescatar;;1,68;2,61;3,77;1,45;1,26
rescate;;1,53;2,53;3,33;1,37;1,1
resentirse;;3,3;2,3;1,23;2,33;1,77
reservado;;1,57;1,33;1,23;1,2;1
respetar;;1,17;1,5;4,17;1,23;1,23
respeto;;1,2;1,43;3,4;1,23;1,03
respetuoso;;1,17;1,27;3,13;1,2;1,07
respiración;;1,3;1,33;2,97;1,2;1,07
respirar;;1,13;1,13;3,53;1,13;1,03
respuesta;;1,3;1,77;1,97;1,33;1,2
restaurante;;1,07;1,03;2,8;1,03;1,13
resumir;;1,52;1,24;1,38;1,14;1,21
retórica;;1,45;1,28;2,31;1,45;1,45
retrasado;;3,1;1,67;1,3;1,73;1,27
retrato;;1,5;1,53;2,37;1,3;1,3
retrete;;1,1;1,14;1,14;1,07;3,17
reunión;;1,47;1,8;2;1,23;1,33
revelación;;1,6;2,17;2,57;1,67;1,2
reventar;;2,53;3,13;1,33;3,23;2,03
reverendo;;1,43;1,43;1,3;1,97;1,87
reverente;;1,08;1,23;2,38;1,08;1,08
revés;;1,2;1,27;1,1;1,17;1,07
revivir;;1,8;2,7;3,9;1,3;1,43
revoltoso;;1,03;1,97;2,2;2,47;1,3
revolución;;1,8;2,6;2,8;2,7;1,27
revolver;;1,83;2,14;1,38;2,48;2,1
revólver;;2,93;4,03;1,27;3,3;2,5
revuelta;;1,53;2,37;1,47;2,43;1,2
rey;;2;1,47;1,23;2,8;2,53
rezar;;1,67;1,57;2,13;1,27;1,13
régimen;;2,37;2,5;1,47;2,5;2,47
réplica;;1,33;1,63;1,43;1,57;1,13
rico;;1,47;1,4;3,41;1,4;1,47
ridiculizar;;3,53;2,73;1,13;2,97;2,77
ridículo;;2,43;2,8;1,17;2;1,63
riego;;1,23;1,23;2,03;1,27;1,33
riesgo;;1,5;3,43;2,4;1,47;1,03
rifle;;2,27;3,83;1;2,63;1,87
rinoceronte;;1,17;2,43;1,8;1,37;1,4
riña;;3,22;3;1,04;3,56;1,37
riqueza;;1,7;1,7;3;1,83;1,47
risa;;1,1;1,03;4,83;1,1;1,2
risueño;;1,03;1,07;4,2;1,07;1
rivalidad;;2,03;2,47;1,87;3,23;2
rival;;2,23;2,73;1,47;2,9;2,13
rizado;;1,2;1,23;2,3;1,33;1,23
rígido;;1,45;1,62;1,07;1,55;1,38
río;;1,2;1,43;2,67;1,1;1,13
robo;;3,7;4,47;1;4,43;2,97
robusto;;1,31;1,97;1,9;1,66;1,24
roca;;1,03;1,5;1,3;1,13;1
rogar;;2,97;2,58;1,42;2,03;1,77
rojo;;1,13;1,5;2,53;2,07;1,07
romanticismo;;2,1;1,87;3,87;1,43;1,3
romántico;;1,6;1,57;4,13;1,3;1,13
rompecabezas;;1,43;1,73;2,43;1,83;1,37
romper;;3,07;3;1,4;2,93;1,73
roña;;1,9;1,62;1;2,07;4,21
ropa;;1,13;1,1;3,07;1,13;1,1
rosa;;1,27;1,2;3,23;1,13;1,13
rotación;;1,38;1,62;1,69;1,28;1,31
roto;;3,3;2,37;1,23;2,67;1,27
rotulador;;1,07;1,03;1,87;1,07;1,03
rotular;;1,03;1;1,72;1;1,03
rotura;;3,62;3,52;1,34;2,72;1,83
rubio;;1,13;1,17;2,17;1,2;1,17
rudo;;1,79;1,93;1,25;2,21;1,89
rueda;;1,1;1,43;1,4;1,03;1,1
rugido;;1,17;2,9;1,2;2,3;1,17
ruido;;1,57;2;1,6;2,73;1,53
ruidoso;;1,37;1,43;1,47;3,2;1,47
ruin;;2,73;1,9;1,03;3,57;2,93
ruiseñor;;1,14;1,21;3,14;1,03;1,21
ruptura;;4,03;2,93;1,27;2,57;2,1
rural;;1,6;1,6;3,37;1,2;1,5
sabiduría;;1,27;1,27;4,1;1,2;1,17
sabio;;1,43;1,47;3,67;1,23;1,17
sabor;;1,4;1,5;3,5;1,17;2,27
sacapuntas;;1;1,03;1,23;1,03;1,07
sacerdote;;2;1,4;1,37;2,17;2,27
saciedad;;1,52;1,48;2,55;1,55;1,72
saco;;1,4;1,6;1,13;1,2;1,17
sacrificar;;4,17;3,43;1,03;3;2,67
sacrificio;;3,27;3,17;1,9;2,37;2,2
salamandra;;1,1;2,13;1,97;1,33;2,5
salario;;2,2;2;3,53;1,8;1,67
salir;;1,37;1,97;3,63;1,23;1,1
saltamontes;;1,07;1,83;1,66;1,21;2,72
saltear;;1,07;1,1;1,66;1,14;1,03
salto;;1,13;2,33;3,07;1,47;1,07
salud;;1,6;2,1;4,23;1,47;1,4
saludar;;1,4;1,4;3,63;1,27;1,1
saludo;;1,13;1,27;3,33;1,17;1,13
salvador;;1,1;1,47;3,4;1,1;1
salvaje;;1,4;2,9;2,23;1,8;1,4
salvar;;1,23;1,83;4,2;1,1;1,03
sancionar;;2,87;3,07;1,17;3,37;2,13
sangrar;;3;3,62;1,21;2,14;2,86
sangre;;1,87;2,5;1,43;1,83;2,5
sangriento;;2,87;3,53;1,03;2,23;3,67
sanguijuela;;1,07;2,57;1,07;1,3;3,93
sanidad;;2,57;2,63;2,63;1,87;1,73
sano;;1,29;1,42;4,42;1,23;1,16
santo;;1,23;1,23;1,93;1,23;1,23
sapo;;1,4;1,73;1,73;1,03;3,3
sarampión;;2,27;2,7;1,03;1,9;2,77
sastre;;1,23;1,13;2,3;1;1
satisfacción;;1,03;1,1;4,73;1,13;1
satisfecho;;1,03;1,07;4,07;1;1
sauna;;1,27;1,5;3,33;1,13;1,53
sádico;;2,37;3,73;1,07;3,03;2,53
secador;;1,07;1,27;1,63;1,07;1,07
sección;;1,17;1,4;1,33;1,13;1,17
seco;;1,55;1,45;1,79;1,21;1,38
secretaria;;1,67;1,63;1,93;1,33;1,33
secretario;;1,33;1,23;1,43;1,13;1,07
secuestrador;;2,53;4,37;1;3,77;2,9
secuestrar;;3,57;4,47;1,03;4,13;3,1
secuestro;;3,7;4,23;1,07;3,7;2,9
seda;;1,07;1;2,97;1;1,07
sed;;2,1;1,83;1,27;1,63;1,6
seducción;;1,13;1,7;3,6;1,3;1,4
seducir;;1,13;1,67;3,53;1,1;1,23
seductor;;1,13;1,5;2,93;1,3;1,33
seguridad;;1,4;1,8;3,4;1,3;1,13
seguro;;1,13;1,4;3,53;1,03;1,03
sellar;;1,1;1,14;1,21;1,07;1
selva;;1,21;3;2,9;1,28;1,52
semáforo;;1,23;1,4;1,23;1,67;1,17
senadora;;1,72;1,59;1,69;2,55;2,34
sencillo;;1,33;1,5;2,73;1,1;1,17
senderismo;;1,23;1,33;3,53;1,13;1,17
seno;;1,1;1,07;1,77;1,1;1,07
sensato;;1,73;1,7;2,87;1,27;1,13
sensibilidad;;2,37;2,07;2,8;1,33;1,17
sensualidad;;1,33;1,5;3,63;1,23;1,2
sentimiento;;3,33;2,9;3,97;2,47;1,97
sentir;;2,58;3,23;4,19;2,45;1,94
señal;;1,37;1,93;2,03;1,57;1,3
separación;;4;3,33;1,47;2,47;1,53
sepia;;1,3;1,48;1,81;1,15;2,15
septentrional;;1,19;1,31;1,38;1,31;1,12
sepulturero;;3,23;2,17;1,03;1,13;1,43
sequía;;3,17;2,63;1;2,07;1,17
serenidad;;1,34;1,21;3,31;1;1
seriedad;;1,9;1,67;1,33;1,47;1,2
serio;;2,33;1,9;1,17;1,83;1,7
serpiente;;1,47;3,13;1,37;1,53;2,77
servidumbre;;3,1;2,55;1,17;2,97;2,53
servilleta;;1,1;1;1,6;1;1,43
severidad;;2,13;2,63;1,2;2,87;2,13
sexo;;1,07;1,37;4,37;1,17;1,2
sexualidad;;1,13;1,63;3,9;1,23;1,37
sexy;;1,13;1,07;4,07;1,13;1,1
sierra;;1,23;2,57;1,57;1,57;1,17
siesta;;1,33;1,1;3,6;1,1;1,07
significado;;1,33;1,63;1,93;1,4;1,3
signo;;1,2;1,37;1,37;1,3;1,13
silbato;;1,03;1,17;1,73;1,53;1,03
silencioso;;2,37;2,2;1,97;1,23;1,23
silla;;1,23;1,13;1,8;1,03;1,07
simetría;;1,4;1,27;2,47;1,33;1,33
similar;;1,48;1,39;1,77;1,32;1,26
simpático;;1,07;1,1;4,3;1,17;1,03
sincero;;1,28;1,62;4,07;1,24;1,17
siniestro;;2,83;3,93;1,17;3;2,6
sintáctico;;1,42;1,31;1,58;1,38;1,5
sirena;;1,23;1,77;2;1,1;1,1
sistemático;;1,38;1,45;1,45;1,34;1,28
situación;;2,2;2,27;2,13;1,9;1,77
sífilis;;3,32;4,04;1,18;2,57;3,57
símbolo;;1,43;1,43;1,87;1,43;1,5
snob;;1,55;1,14;1,32;1,55;2,45
sobornar;;2,7;2,17;1,17;3,87;3,23
soborno;;3,27;2,72;1;4,17;3,5
sobrecogido;;2,7;2,57;1,33;1,37;1,17
sobresaliente;;1,03;1,23;4,67;1,17;1,23
sobresalir;;1,24;1,38;3,55;1,21;1,14
sobresaltado;;1,5;3,13;1,57;2,07;1,33
sobrevivir;;2;2,83;3,77;1,47;1,2
